t_s,t_h,C_h2o_out_mol_m3,C_co2_out_mol_m3
1.032000000000000000e+04,2.866666666666666696e+00,1.539125432071058763e-13,2.886179344880148690e-14
1.038000000000000000e+04,2.883333333333333304e+00,1.540719632685216636e-13,2.873755388471580203e-14
1.044000000000000000e+04,2.899999999999999911e+00,1.542895344979338628e-13,2.861378916609775913e-14
1.050000000000000000e+04,2.916666666666666519e+00,1.545653171130711019e-13,2.849053585585680948e-14
1.056000000000000000e+04,2.933333333333333126e+00,1.548999073382426537e-13,2.836783143743328549e-14
1.062000000000000000e+04,2.950000000000000178e+00,1.552942853688323251e-13,2.824566096912365419e-14
1.068000000000000000e+04,2.966666666666666785e+00,1.557491216323095459e-13,2.812397542466375981e-14
1.074000000000000000e+04,2.983333333333333393e+00,1.562644853612008562e-13,2.800275632548532197e-14
1.080000000000000000e+04,3.000000000000000000e+00,1.568403598505525123e-13,2.788203849468575256e-14
1.086000000000000000e+04,3.016666666666666607e+00,1.574772745179203543e-13,2.776186018065695963e-14
1.092000000000000000e+04,3.033333333333333215e+00,1.581762018318768311e-13,2.764220867538825861e-14
1.098000000000000000e+04,3.049999999999999822e+00,1.589378726043816115e-13,2.752303526347682408e-14
1.104000000000000000e+04,3.066666666666666874e+00,1.597624746939220776e-13,2.740431878373458169e-14
1.110000000000000000e+04,3.083333333333333481e+00,1.606502151274566174e-13,2.728609111839098231e-14
1.116000000000000000e+04,3.100000000000000089e+00,1.616021004478364506e-13,2.716839019478131164e-14
1.122000000000000000e+04,3.116666666666666696e+00,1.626200697523424758e-13,2.705120484971548131e-14
1.128000000000000000e+04,3.133333333333333304e+00,1.637066468511007954e-13,2.693448658215326072e-14
1.134000000000000000e+04,3.149999999999999911e+00,1.648652170174852772e-13,2.681821193340328600e-14
1.140000000000000000e+04,3.166666666666666519e+00,1.661016899465352540e-13,2.670241046282279111e-14
1.146000000000000000e+04,3.183333333333333126e+00,1.674273035444752669e-13,2.658712055772582554e-14
1.152000000000000000e+04,3.200000000000000178e+00,1.688623199123741241e-13,2.647233368568660412e-14
1.158000000000000000e+04,3.216666666666666785e+00,1.704419245363863241e-13,2.635800301460252592e-14
1.164000000000000000e+04,3.233333333333333393e+00,1.722275946674094006e-13,2.624410438299194728e-14
1.170000000000000000e+04,3.250000000000000000e+00,1.743285680310940753e-13,2.613066640008796245e-14
1.176000000000000000e+04,3.266666666666666607e+00,1.769399388890863268e-13,2.601772889251993042e-14
1.182000000000000000e+04,3.283333333333333215e+00,1.804090806429931020e-13,2.590528662968502199e-14
1.188000000000000000e+04,3.299999999999999822e+00,1.853529965815382413e-13,2.579329489393063021e-14
1.194000000000000000e+04,3.316666666666666874e+00,1.928678384873882698e-13,2.568172890729152842e-14
1.200000000000000000e+04,3.333333333333333481e+00,2.049027949596951887e-13,2.557061583618722198e-14
1.206000000000000000e+04,3.350000000000000089e+00,2.249250017712818701e-13,2.545999586604219521e-14
1.212000000000000000e+04,3.366666666666666696e+00,2.591007099127904677e-13,2.534986565913310129e-14
1.218000000000000000e+04,3.383333333333333304e+00,3.183948026305271569e-13,2.524018114035536966e-14
1.224000000000000000e+04,3.399999999999999911e+00,4.223043956874241976e-13,2.513091542005027112e-14
1.230000000000000000e+04,3.416666666666666519e+00,6.054984468478956046e-13,2.502209262947208227e-14
1.236000000000000000e+04,3.433333333333333126e+00,9.296248780847507968e-13,2.491375175025327748e-14
1.242000000000000000e+04,3.450000000000000178e+00,1.504306942987919200e-12,2.480589023010914089e-14
1.248000000000000000e+04,3.466666666666666785e+00,2.524476297507950836e-12,2.469846442729547420e-14
1.254000000000000000e+04,3.483333333333333393e+00,4.336743720266244563e-12,2.459144612998746892e-14
1.260000000000000000e+04,3.500000000000000000e+00,7.557396850906866911e-12,2.448485793063533716e-14
1.266000000000000000e+04,3.516666666666666607e+00,1.328220618278117778e-11,2.437873938122321001e-14
1.272000000000000000e+04,3.533333333333333215e+00,2.345952345886825198e-11,2.427309046064141893e-14
1.278000000000000000e+04,3.549999999999999822e+00,4.155363000036345835e-11,2.416787061068207387e-14
1.284000000000000000e+04,3.566666666666666874e+00,7.372390407459067247e-11,2.406305016746766693e-14
1.290000000000000000e+04,3.583333333333333481e+00,1.309209031428816309e-10,2.395864768056939679e-14
1.296000000000000000e+04,3.600000000000000089e+00,2.326129601310091898e-10,2.385470436795681326e-14
1.302000000000000000e+04,3.616666666666666696e+00,4.134120636665580405e-10,2.375122290087023397e-14
1.308000000000000000e+04,3.633333333333333304e+00,7.348525415162926253e-10,2.364816348516435822e-14
1.314000000000000000e+04,3.649999999999999911e+00,1.306324731381309186e-09,2.354549729926121065e-14
1.320000000000000000e+04,3.666666666666666519e+00,2.322277492012323381e-09,2.344324440897396046e-14
1.326000000000000000e+04,3.683333333333333126e+00,4.128340634704152516e-09,2.334144476046376820e-14
1.332000000000000000e+04,3.700000000000000178e+00,7.338849072257031721e-09,2.324010215385588221e-14
1.338000000000000000e+04,3.716666666666666785e+00,1.304567266007270458e-08,2.313917766737678926e-14
1.344000000000000000e+04,3.733333333333333393e+00,2.318915643860261695e-08,2.303864118455083499e-14
1.350000000000000000e+04,3.750000000000000000e+00,4.121688194209042852e-08,2.293851038730768045e-14
1.356000000000000000e+04,3.766666666666666607e+00,7.325349213657257376e-08,2.283882407150267499e-14
1.362000000000000000e+04,3.783333333333333215e+00,1.301775863801346719e-07,2.273958661116289753e-14
1.368000000000000000e+04,3.799999999999999822e+00,2.313069379581149169e-07,2.264075951699300502e-14
1.374000000000000000e+04,3.816666666666666874e+00,4.109325149353250164e-07,2.254231139724428937e-14
1.380000000000000000e+04,3.833333333333333481e+00,7.298950215037382582e-07,2.244425786933030952e-14
1.386000000000000000e+04,3.850000000000000089e+00,1.296080034563994096e-06,2.234663704073225256e-14
1.392000000000000000e+04,3.866666666666666696e+00,2.300662899442961005e-06,2.224945446063259728e-14
